商品コード,仕様コード,内容
13496,6,イタリア
13497,0,コットン100%
13497,5,手洗い ドライクリーニング
13497,6,イタリア
13498,0,リネン85%<br />コットン15%
13498,33,ポケット3
13498,34,ポケット1<br />ボタン式ポケット1
13498,5,ドライクリーニング
13498,6,イタリア
13500,0,リアルクロコダイルレザー
13500,6,イタリア
13500,9,全長:26.5cm
13501,0,リアルクロコダイルレザー
13501,6,イタリア
13501,9,全長:23.5cm
13528,0,カシミア100%
13528,5,ドライクリーニング
13528,6,イタリア
13528,9,大剣:8cm<br />小剣:4.5cm<br />長さ:146cm
13538,0,牛革 他
13538,4,ディー・ダミーコ布袋
13538,48,WAU0022
13538,6,イタリア
13538,9,全長:54cm
13544,4,ディー・ダミーコ布袋
13544,6,イタリア
13544,9,フリー
13545,4,ディー・ダミーコ布袋
13545,48,WAU0066
13545,6,イタリア
13545,9,フリー
13546,4,ディー・ダミーコ布袋
13546,6,イタリア
13546,9,フリー(ゴム入り)
13551,0,レザー リモンタ社製ナイロン
13551,11,約0.9kg
13551,33,ポケット2
13551,34,ファスナー式ポケット2<br />携帯ポケット1
13551,4,オロビアンコ布袋
13551,6,イタリア
13551,9,幅×高さ×マチ:41×29×14cm
13553,0,主素材:ウール ナイロン 牛革
13553,34,ファスナー式ポケット1<br />ポケット2
13553,38,1kg
13553,4,ムータ布袋
13553,6,中国
13553,9,幅×高さ×マチ:36×34×12.5cm
13562,0,アッパー:フルグレインレザー<br>ソール:クレープソール
13562,6,バングラデシュ
13563,0,アッパー:フルグレインレザー<br>ソール:クレープソール
13563,6,バングラデシュ
13565,0,アッパー:フルグレインレザー<br>ソール:クレープソール
13565,6,バングラデシュ
13566,0,アッパー:フルグレインレザー<br>ソール:クレープソール
13566,6,バングラデシュ
13567,0,アッパー:フルグレインレザー<br>ソール:クレープソール
13567,6,バングラデシュ
13574,0,アッパー:レザー<br />ソール:レザー ラバー
13574,15,ブラック・ラピット製法
13574,48,B3802-PE-TOSCH
13574,6,イタリア
13575,0,ブラシ上部:ブライドルレザー<br>ブラシ:馬の髪の毛
13575,6,英国
13575,9,縦×横×高さ 約4cm×15cm×4cm
13582,0,ブライドルレザー
13582,12,カード入れ 5<br>札入れ 1<br>コインケース 1<br>ポケット 3
13582,6,英国
13582,9,約14×9.5cm(閉じた状態)
13583,0,ブライドルレザー
13583,12,キーハンガー6<br />リング1<br />ポケット1
13583,6,英国
13583,9,約11.5cm×6.5cm(閉じた状態)
13584,0,ブライドルレザー
13584,12,カード入れ 8<br>札入れ 1<br>ジッパー付きコインケース 1<br>ポケット 3
13584,6,英国
13584,9,約17.5cm×9cm(閉じた状態)
13588,0,ブライドルレザー
13588,12,札入れ1<br>コインケース1<br>カード入れ3<br>ポケット5
13588,6,英国
13588,9,縦×横 約12cm×10cm(閉じた状態)
13592,0,ブライドルレザー
13592,12,札入れ2<br />小銭入れ1<br />カード入れ8<br />ポケット2
13592,6,英国
13592,9,約10×19×2.5cm
13606,0,ウール80%<br />ナイロン20%
13606,33,ハンドウォーマー付きポケット2
13606,4,バークロゴ入りカモフラージュトートバッグ<br />バークロゴバッジ1
13606,5,手洗い ドライクリーニング不可
13606,6,イタリア
13608,0,コットン<br />皮革部分:牛革
13608,43,2×0.5cm
13608,45,縦×横:2.5×3cm
13608,6,イタリア
13614,0,牛革<br />裏地:コットン100%
13614,11,約0.3kg
13614,34,ファスナー式ポケット1<br />ポケット2<br />キーホルダー用フック1
13614,4,ケース付きミラー
13614,6,中国
13614,9,幅×高さ×マチ:約27×13×11cm
13624,0,コットン50% 指定外繊維(竹)50%
13624,5,手洗い ドライクリーニング不可
13624,6,中国
13625,0,コットン100%
13625,5,洗濯機弱洗い ドライクリーニング不可
13625,6,中国
13626,0,コットン100%
13626,5,洗濯機弱洗い
13626,6,中国
13628,0,指定外繊維(大麻)55% コットン45%
13628,5,洗濯機弱洗い ドライクリーニング不可
13628,6,中国
13629,0,指定外繊維(大麻)55% コットン45%
13629,5,洗濯機弱洗い ドライクリーニング不可
13629,6,中国
13630,0,コットン100%
13630,5,洗濯機弱洗い ドライクリーニング不可
13630,6,中国
13638,0,スウェット コーデュラナイロン
13638,11,約0.4kg
13638,33,ファスナー式ポケット1
13638,34,ファスナー式ポケット1
13638,6,中国
13638,9,幅×高さ×マチ:47×14×9cm
13644,0,スウェット
13644,11,0.7kg
13644,33,ポケット1
13644,34,ポケット1
13644,6,中国
13644,9,幅×高さ×マチ:34×36×17cm
13653,0,コットン100%
13653,5,手洗い ドライクリーニング
13653,6,フランス
13656,0,ブライドルレザー
13656,6,英国
13656,9,革部:約5.5×4.5cm<br />リング部直径:約2.5cm
13657,0,フルグレイン カウハイド
13657,6,英国
13657,9,全長:約21cm
13677,0,コットン100%
13677,5,洗濯機弱洗い ドライクリーニング
13677,6,中国
13678,0,牛革(シューレザー)
13678,11,約0.5kg
13678,34,ポケット2
13678,4,タスティング布袋
13678,6,英国
13678,9,幅×高さ×マチ:約40×30×14cm
13681,0,シルク100%
13681,5,ドライクリーニング
13681,6,日本
13681,9,大剣:8cm<br />小剣:4cm<br />長さ:144cm
13686,0,シルク100%
13686,5,ドライクリーニング
13686,6,日本
13686,9,大剣:8cm<br />小剣:4cm<br />長さ:144cm
13690,0,シルク100%
13690,5,ドライクリーニング
13690,6,日本
13690,9,大剣:8cm<br />小剣:4cm<br />長さ:144cm
13700,0,シルク100%
13700,5,ドライクリーニング
13700,6,イタリア
13700,9,縦×横:42×42cm
13705,0,アッパー:コットン 麻<br>ソール:ラバー
13705,6,スペイン
13706,0,アッパー:コットン 麻<br>ソール:ラバー
13706,6,スペイン
13707,0,"アッパー:綿<br />インソール:麻<br />アウトソール:ラバー
"
13707,6,スペイン
13710,0,"アッパー:スウェード<br />インソール:麻<br />アウトソール:ラバー
"
13710,6,スペイン
13711,0,シルク70% コットン30%
13711,5,ドライクリーニング
13711,6,イタリア
13711,9,大剣:約8cm<br>小剣:約4cm<br>長さ:約146cm
13718,0,シルク100%
13718,5,ドライクリーニング
13718,6,イタリア
13718,9,大剣:約8cm<br>小剣:約4cm<br>長さ:約147cm
13719,0,シルク100%
13719,5,ドライクリーニング
13719,6,イタリア
13719,9,大剣:約8cm<br>小剣:約4cm<br>長さ:約145cm
13720,0,シルク100%
13720,5,ドライクリーニング
13720,6,イタリア
13720,9,大剣:約8cm<br>小剣:約4cm<br>長さ:約146cm
13722,0,シルク100%
13722,5,ドライクリーニング
13722,6,イタリア
13722,9,大剣:約8cm<br>小剣:約4cm<br>長さ:約146cm
13727,0,シルク100%
13727,5,ドライクリーニング
13727,6,イタリア
13727,9,大剣:約8cm<br>小剣:約4.5cm<br>長さ:約148cm
13728,0,バリスティックナイロン
13728,6,米国
13728,9,縦×高さ:16.5×13cm
13729,0,バリスティックナイロン
13729,11,1.5kg
13729,33,ファスナー式ポケット3<br />ボタン式ポケット2<br />ポケット1<br />ペン挿し2<br />着脱式キーホルダー1
13729,34,ポケット2<br />メッシュポケット3<br />仕切り1
13729,6,米国
13729,9,幅×高さ×マチ:44×31×10cm
13730,0,バリスティックナイロン
13730,11,1.5kg
13730,33,ファスナー式ポケット3<br />ポケット4<br />ペン挿し1<br />着脱式キーホルダー1
13730,34,ボタン式ポケット1<br />ファスナー式メッシュポケット1
13730,6,米国
13730,9,幅×高さ×マチ:36×46×12cm
13731,0,バリスティックナイロン
13731,11,約0.9kg
13731,33,ファスナー式ポケット1<br />ボタン式ポケット1<br />着脱式キーホルダー1
13731,34,ファスナー式ポケット1<br />ポケット2
13731,6,米国
13731,9,幅×高さ×マチ:42×37×14cm
13732,0,バリスティックナイロン
13732,6,米国
13732,9,全長:94cm<br />幅:6cm
13733,0,コーデュラナイロン
13733,11,0.9kg
13733,33,ファスナー式ポケット2<br />ポケット3<br />ペン挿し2<br />着脱式キーホルダー1
13733,34,ポケット2<br />クッション入りポケット1
13733,6,米国
13733,9,幅×高さ×マチ：36×34×9cm
13734,0,コーデュラナイロン
13734,11,1kg
13734,33,ファスナー式ポケット2<br />ボタン式ポケット1<br />ポケット2<br />着脱式キーホルダー1
13734,34,クッション入りポケット1
13734,6,米国
13734,9,幅×高さ×マチ：33×47×14cm
13750,0,アッパー:キャンバス<br>ソール:ラバー
13750,6,スペイン
13751,0,アッパー:キャンバス<br />ソール:ラバー
13751,48,B2 CLASSIC
13751,6,スペイン
13753,5,手洗い
13753,6,イタリア
13753,9,全長:約23cm
13754,5,手洗い
13754,6,イタリア
13754,9,全長:約23cm
13757,0,コットン100%
13757,1,ホリゾンタルカラー
13757,2,シングルカフ
13757,4,フィナモレ布袋
13757,48,840149-1
13757,5,手洗い ドライクリーニング
13757,6,イタリア
13773,0,コットン100%
13773,1,ホリゾンタルカラー
13773,2,シングルカフ
13773,4,フィナモレ布袋
13773,48,011700-06
13773,5,手洗い ドライクリーニング
13773,6,イタリア
13774,0,コットン100%
13774,1,ホリゾンタルカラー
13774,2,シングルカフ
13774,4,フィナモレ布袋
13774,48,11775
13774,5,手洗い ドライクリーニング
13774,6,イタリア
13780,0,牛革<br />トグル:シルバー<br />ビーズ:真鍮
13780,4,サンバティ布袋
13780,48,THB-1003
13780,6,タイ
13780,9,メーカー表記：FREE<br />手首周り:15～25cm
13789,0,コットン97% ポリウレタン3%<br />別布:コットン100%
13789,5,手洗い ドライクリーニング
13789,6,日本
13790,0,コットン98% ポリウレタン2%<br />裏別布:コットン56% ポリエステル44%
13790,5,手洗い ドライクリーニング
13790,6,日本
13794,0,アッパー：レザー<br>ソール：ラバー70% ウレタンゴム30%
13794,48,R012
13794,6,イタリア
13795,0,アッパー：レザー<br>ソール：ラバー70% ウレタンゴム30%
13795,48,R013
13795,6,イタリア
13801,0,牛革
13801,33,ポケット1
13801,34,ポケット2
13801,4,トラモンターノ布袋
13801,48,1560 T Alce
13801,6,イタリア
13801,9,幅×高さ×マチ:30×15×4cm
13802,0,牛革
13802,33,ポケット1
13802,34,ポケット2
13802,4,トラモンターノ布袋
13802,48,1561 T Alce
13802,6,イタリア
13802,9,幅×高さ×マチ:37×25×5cm
13815,0,リネン100%
13815,5,ドライクリーニング
13815,6,イタリア
13815,9,フリンジの長さ:1.5cm<br />フリンジを除く本体の長さ:170cm<br />幅:44cm
13816,0,レーヨン50%<br />リネン40%<br />シルク10%
13816,5,ドライクリーニング
13816,6,イタリア
13816,9,フリンジの長さ:1.5cm<br />フリンジを除く本体の長さ:176cm<br />幅:66cm
13832,0,表地:コットン100%<br />裏地:コットン100%
13832,5,水洗い不可 ドライクリーニング
13832,6,モルドバ共和国
13837,0,コットン100%
13837,5,手洗い ドライクリーニング
13837,6,イタリア
13855,0,リネン100%
13855,5,ドライクリーニング
13855,6,イタリア
13855,9,大剣:8cm<br />小剣:4.5cm<br />長さ:146cm
13856,0,シルク100%
13856,5,ドライクリーニング
13856,6,イタリア
13856,9,大剣:8cm<br />小剣:4.5cm<br />長さ:146cm
13859,0,リネン100%
13859,5,ドライクリーニング
13859,6,イタリア
13859,9,大剣:8cm<br />小剣:4.5cm<br />長さ:146cm
13870,0,シルク100%
13870,5,ドライクリーニング
13870,6,イタリア
13870,9,全長:144cm<br />大検幅:8cm<br />小剣幅:4.5cm
13889,0,アッパー:レザー<br>ソール:ラバー
13889,6,イタリア
13890,0,アッパー:レザー<br>ソール:ラバー
13890,6,イタリア
13891,0,アッパー:レザー<br>ソール:ラバー
13891,6,イタリア
13893,0,本体:コットン89% ポリウレタン11%<br />ゴム:ポリエステル54% ナイロン28% ポリウレタン18%
13893,49,なし
13893,5,手洗い ドライクリーニング
13893,6,スリランカ
13894,0,本体:コットン89% ポリウレタン11%<br />ゴム:ポリエステル54% ナイロン28% ポリウレタン18%
13894,49,なし
13894,5,手洗い ドライクリーニング
13894,6,スリランカ
13895,0,本体:コットン92% ポリウレタン8%<br />ゴム:綿68% ポリウレタン15% ポリエステル12% ナイロン5%
13895,49,スリットあり
13895,5,手洗い ドライクリーニング
13895,6,スリランカ
13896,0,本体:コットン92% ポリウレタン8%<br />ゴム:綿68% ポリウレタン15% ポリエステル12% ナイロン5%
13896,49,スリットあり
13896,5,手洗い ドライクリーニング
13896,6,スリランカ
13897,0,コットン89% ポリウレタン11%
13897,5,手洗い ドライクリーニング
13897,6,スリランカ
13898,0,コットン92% ポリウレタン8%
13898,5,手洗い ドライクリーニング
13898,6,スリランカ
13899,0,レザー リモンタ社製ナイロン
13899,11,約0.5kg
13899,33,ファスナー式ポケット4
13899,4,オロビアンコ布袋
13899,6,イタリア
13899,9,幅×高さ×マチ:31×18×5cm
13907,0,リネン100%
13907,1,ワイドスプレッド
13907,5,手洗い ドライクリーニング
13907,6,ブルガリア
13914,0,コットン100%
13914,5,手洗い ドライクリーニング
13914,6,ルーマニア
13927,0,コットン100%
13927,5,手洗い ドライクリーニング
13927,6,イタリア
13932,0,表：牛革　内側：豚革
13932,11,1.3kg
13932,34,ファスナー式ポケット1<br />ポケット2
13932,4,シセイ布袋
13932,6,イタリア
13932,9,幅×高さ×マチ:43×31×18cm
13936,0,牛革
13936,4,シセイ布袋
13936,43,3×0.3cm
13936,44,5
13936,45,縦×横:3.5×4cm
13936,46,2.5cm
13936,6,イタリア
13937,0,牛革
13937,4,シセイ布袋
13937,43,3×0.3cm
13937,45,直径4cm
13937,6,イタリア
13938,0,コットン60%<br />ポリエステル40%
13938,5,手洗い ドライクリーニング
13938,6,イタリア
13939,0,コットン60%<br />ポリエステル40%
13939,5,手洗い ドライクリーニング
13939,6,イタリア
13940,0,コットン100%
13940,5,洗濯機弱洗い ドライクリーニング
13940,6,フランス
13942,0,コットン100%
13942,5,洗濯機弱洗い ドライクリーニング
13942,6,フランス
13944,0,コットン100%
13944,1,ワイドスプレッド
13944,2,シングルカフ
13944,5,手洗い ドライクリーニング不可
13944,6,イタリア
13950,0,牛革<br />真鍮(つや消し)
13950,43,3×0.3cm
13950,45,直径:4.2cm
13950,6,イタリア
13951,0,牛革
13951,43,2.5×0.4cm
13951,45,縦×横:4×3cm
13951,6,イタリア
13961,4,ブッテロ布袋
13961,6,日本
13961,9,長さ:55cm
13963,0,牛革
13963,11,約1.4kg
13963,33,ボタン式ポケット1
13963,34,ファスナー式ポケット1<br />ボタン式ポケット1<br />ポケット2<br />ペン挿し2<br />キーリング1
13963,4,ホイッスル1<br />ネームタグ1<br />ペッレモルビダ布袋1
13963,6,日本
13963,9,幅×高さ×マチ:41×32×13cm
13964,0,牛革
13964,11,約1.5kg
13964,33,ボタン式ポケット1
13964,34,ファスナー式ポケット1<br />ボタン式ポケット1<br />ポケット2<br />ペン挿し2<br />キーリング1
13964,4,ホイッスル1<br />ネームタグ1<br />ペッレモルビダ布袋1
13964,6,日本
13964,9,幅×高さ×マチ:34×37×14cm
13965,0,牛革
13965,11,約1.3kg
13965,33,ボタン式ポケット1<br />ポケット2
13965,34,ファスナー式ポケット1<br />ボタン式ポケット1<br />ポケット2<br />ペン挿し2<br />キーリング1
13965,4,ホイッスル1<br />ネームタグ1<br />ペッレモルビダ布袋1
13965,6,日本
13965,9,幅×高さ×マチ:42×32×9cm
13971,0,牛革
13971,11,約1.8kg
13971,34,ボタン式ポケット1<br />ポケット2<br />ペン挿し2<br />キーリング1
13971,4,ホイッスル1<br />ネームタグ1<br />ペッレモルビダ布袋1
13971,6,日本
13971,9,幅×高さ×マチ:48×41×18cm
13976,0,ウール100%
13976,48,1363174
13976,5,水洗い不可 ドライクリーニング
13976,6,イタリア
13977,0,ウール100%
13977,33,ポケット2
13977,48,1363147
13977,5,水洗い不可 ドライクリーニング
13977,6,イタリア
13978,0,前身頃：コットン48% ウール32% ポリエステル20%<br />後身頃：コットン100%
13978,48,51732-5448201-737
13978,5,ドライクリーニング
13978,6,イタリア
13979,0,前身頃：コットン55% ウール27% ポリエステル18%<br />後身頃：コットン100%
13979,48,51732-5447201-754
13979,5,ドライクリーニング
13979,6,イタリア
13980,0,前身頃：コットン55% ウール27% ポリエステル18%<br />後身頃：コットン100%
13980,48,51732-5447101-01
13980,5,ドライクリーニング
13980,6,イタリア
13985,0,表地：ウール100%<br />袖裏：レーヨン100%
13985,32,アンフィニッシュ
13985,33,ポケット2
13985,4,エイドスハンガー
13985,48,F.TIME10 32521
13985,5,ドライクリーニング
13985,6,イタリア
13986,0,ウール100%
13986,48,MK158SH
13986,5,ドライクリーニング
13986,6,英国
13991,0,アッパー:スウェード<br />ソール:シングルレザーソール(牛革)
13991,12,ワイズ E<br />ラスト314
13991,15,グッドイヤーウェルテッド製法
13991,4,保存用布袋
13991,6,英国
13992,0,リネン100%
13992,1,ワイドスプレッド
13992,2,シングルカフ
13992,5,洗濯機弱洗い ドライクリーニング
13992,6,アルバニア
13994,0,リネン100%
13994,5,ドライクリーニング
13994,6,イタリア
13996,0,表地：ポリエステル85% コットン15%<br>裏地：ナイロン100%<br>中綿：ダウン80% フェザー20%<br>毛皮部分：コヨーテ
13996,33,ボタン式ポケット2 ポケット2
13996,34,ファスナー式ポケット1 ポケット1
13996,48,2600JL
13996,5,ドライクリーニング
13996,6,カナダ
13999,0,牛革<br />真鍮（ニッケルめっき）
13999,43,3×0.3cm
13999,44,5
13999,45,縦×横：4×4.3cm
13999,46,2.2cm
13999,48,KTB162
13999,6,日本
14002,0,メリノウール70% ナイロン30%
14002,22,踵から口ゴムまでの高さ約29cm
14002,48,B59100
14002,5,手洗い
14002,6,イングランド
14002,9,フリーサイズ<br />メーカー表示 UK4～5.5 Euro36～38 Small
14003,0,メリノウール70% ナイロン30%
14003,22,踵から口ゴムまでの高さ約28cm
14003,48,B59810
14003,5,手洗い
14003,6,イングランド
14003,9,"フリーサイズ<br />メーカー表示 UK4～5.5 Euro36～38 Small
"
14008,0,アッパー：フルグレインレザー<br>ソール：クレープソール
14008,48,LUCAS-MFG
14008,51,この商品はギフトサービスに対応しておりません。
14008,6,バングラデシュ
14009,0,アッパー：フルグレインレザー<br>ソール：クレープソール
14009,48,LUCAS-SFG
14009,51,この商品はギフトサービスに対応しておりません。
14009,6,バングラデシュ
14010,0,アッパー：フルグレインレザー<br>ソール：クレープソール
14010,48,NINA-LFG
14010,51,この商品はギフトサービスに対応しておりません。
14010,6,バングラデシュ
14011,0,アッパー：フルグレインレザー<br>ソール：クレープソール
14011,48,HENRY-FG
14011,51,この商品はギフトサービスに対応しておりません。
14011,6,バングラデシュ
14012,0,コットン100%
14012,1,ワイドスプレッド
14012,2,シングルカフ
14012,48,9G30030L84
14012,5,手洗い ドライクリーニング
14012,6,イタリア
14016,0,牛革
14016,11,0.8kg
14016,33,ボタン式ポケット1
14016,34,ファスナー式ポケット1<br />マジックテープ式ポケット1
14016,4,ダニエル＆ボブ布袋
14016,6,イタリア
14016,9,幅×高さ×マチ:36×33×16cm
14018,0,バリスティックナイロン<br />ウッドランドカモのみコーデュラナイロン
14018,33,ファスナー式ポケット2<br />リング1
14018,34,札入れ2<br />ファスナー式ポケット1<br />コインケース2<br />カード入れ8<br />ペン挿し1
14018,6,米国
14018,9,縦×横×マチ:11×19.5cm
14023,0,表地：ウール80% ナイロン20%<br />裏地：アセテート100%
14023,33,ポケット3
14023,34,ポケット1
14023,4,ピンバッジ2個
14023,48,18274R
14023,5,水洗い不可 ドライクリーニング
14023,6,米国
14024,5,手洗い
14024,6,イタリア
14024,9,全長:約24cm
14032,0,ブライドルレザー
14032,12,札入れ2<br>コインケース1<br>カード入れ8<br>ポケット2
14032,6,英国
14032,9,約10×19×2.5cm
14033,5,手洗い
14033,6,イタリア
14033,9,全長:約24cm
14035,0,DRILLAK(エナメル加工コットンツイル) 牛革
14035,4,オロビアンコ布袋
14035,6,イタリア
14035,9,縦×横×マチ 約5×18×4cm<br />ボール4個用
14052,0,ウール100%
14052,5,ドライクリーニング
14052,6,イタリア
14052,9,フリンジを除く本体の長さ：180cm<br />フリンジの長さ：2.5cm<br />幅：65cm
14053,0,ウール100%
14053,5,ドライクリーニング
14053,6,イタリア
14053,9,フリンジを除く本体の長さ：180cm<br />フリンジの長さ：2.5cm<br />幅：65cm
14056,0,コットン98% ポリウレタン2%
14056,48,0820-NOJ
14056,5,洗濯機弱洗い ドライクリーニング不可
14056,6,中国
14057,0,コットン99% ポリウレタン1%
14057,48,0822-RXJ
14057,5,洗濯機弱洗い ドライクリーニング不可
14057,6,中国
14060,0,フルグレイン カウハイド
14060,6,英国
14060,9,全長 約21cm
14061,0,フルグレイン カウハイド
14061,6,英国
14061,9,全長 約39cm
14062,0,牛革
14062,12,カード入れ 8<br />札入れ 2<br />コインケース 1<br />ポケット 3<br />仕切り1(カード12枚収納可能)
14062,6,日本
14062,9,縦×横:約10.5×21cm
14063,0,表地：コットン100%<br />裏地：コットン100%<br />袖裏：ポリエステル100%<br />ドリストリップ：ポリエステル100%<br />リブ：アクリル100%<br />コーデュロイ：コットン100%
14063,33,ボタン式ポケット2 ポケット2
14063,34,マジックテープ式ポケット1
14063,4,バブアーロゴ入りハンガー バブアーロゴピンバッジ
14063,48,MWX581-NY71
14063,5,洗濯不可
14063,6,ブルガリア
14064,0,表地：コットン100%<br />裏地：コットン100%<br />袖裏：ポリエステル100%<br />ドリストリップ：ポリエステル100%<br />リブ：アクリル100%<br />コーデュロイ：コットン100%
14064,33,ボタン式ポケット2 ポケット2
14064,34,マジックテープ式ポケット1
14064,4,バブアーロゴ入りハンガー バブアーロゴピンバッジ
14064,48,MWX0584
14064,5,洗濯不可
14064,6,ブルガリア
14066,0,表地:ポリエステル85% コットン15%<br>裏地:ナイロン100%<br>中綿:ダウン80% フェザー20%
14066,12,外側:マジックテープ式ポケット4 ポケット2<br />内側:ポケット1
14066,5,ドライクリーニング
14066,6,カナダ
14073,0,表地：ナイロン100%<br />中わた：ダウン90% フェザー10%<br />裏地：ナイロン100%<br />リブ：ウール100%
14073,33,ボタン式ポケット2
14073,34,ファスナー式ポケット1
14073,4,タトラスロゴ入りハンガー<br />正規代理店タトラスジャパン社オフィシャルカード
14073,48,LTA14A4144
14073,5,ドライクリーニング
14073,6,ポーランド
14076,0,表地：ナイロン100%<br />中綿：ダウン90% フェザー10%<br />裏地：ナイロン100%<br />袖部分：ナイロン70% ポリウレタン30%
14076,33,ポケット2
14076,34,ファスナー式ポケット1
14076,4,タトラスロゴ入りハンガー<br />正規代理店タトラスジャパン社オフィシャルカード
14076,48,LTA14A4354
14076,5,水洗い不可 ドライクリーニング
14076,6,ポーランド
14082,0,牛革
14082,11,0.8kg
14082,12,保存袋(予告なく仕様が変わる場合がございます)<br />キーリング1
14082,33,ポケット1<br />ボタン式ポケット1<br />ファスナー式ポケット1
14082,34,ポケット2
14082,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14082,6,日本
14082,9,幅×高さ×マチ:41×36×16cm
14083,0,リネン100%
14083,1,ワイドスプレッド
14083,2,シングルカフ
14083,5,洗濯機弱洗い ドライクリーニング
14083,6,アルバニア
14088,0,ゴート革　オレンジのみ牛革<br />裏地:コットン100%
14088,11,約1kg
14088,33,ファスナー式ポケット2
14088,34,ファスナー式ポケット2<br />ボタン式ポケット2<br />キーフック1
14088,4,ファスナー式ポーチ1
14088,6,中国
14088,9,幅×高さ×マチ:約47×35×20cm
14093,0,表地：ウール100％<br />裏地：キュプラ100％
14093,32,アンフィニッシュ
14093,33,ポケット3
14093,34,ボタン式ポケット1 ポケット2
14093,4,タリアトーレハンガー
14093,48,CFBC13F-11UIC034-B1203
14093,5,ドライクリーニング
14093,6,イタリア
14098,0,真鍮
14098,48,P2
14098,6,イタリア
14098,9,全長：53cm
14099,0,真鍮
14099,48,P3
14099,6,イタリア
14099,9,全長：53cm
14100,0,真鍮
14100,48,P4
14100,6,イタリア
14100,9,全長：53cm
14101,0,真鍮
14101,48,P5
14101,6,イタリア
14101,9,全長：53cm
14104,0,牛革
14104,11,0.4kg
14104,12,保存袋(予告なく仕様が変わる場合がございます)<br />キーリング1
14104,33,ポケット1<br />ボタン式ポケット1<br />ファスナー式ポケット1
14104,34,ポケット1
14104,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14104,6,日本
14104,9,幅×高さ×マチ:29×30×5cm
14105,0,牛革
14105,11,0.8kg
14105,12,保存袋(予告なく仕様が変わる場合がございます)<br />キーリング1
14105,33,ポケット1<br />ボタン式ポケット1<br />ファスナー式ポケット1
14105,34,ポケット2
14105,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14105,6,日本
14105,9,幅×高さ×マチ:32×41×7.5cm
14106,0,シルク100%
14106,48,NR80-B
14106,5,ドライクリーニング
14106,6,イタリア
14106,9,大剣：8cm<br />小剣：4.5cm<br />長さ：146cm
14107,0,ウール100%
14107,48,NR80-B-405-01
14107,5,ドライクリーニング
14107,6,イタリア
14107,9,大剣：8cm<br />小剣：4.5cm<br />長さ：146cm
14116,0,コットン100%
14116,48,U7D002-D0092
14116,5,手洗い ドライクリーング
14116,6,イタリア
14117,0,コットン97% ポリウレタン3%
14117,48,U7P001-T0001
14117,5,手洗い ドライクリーング
14117,6,イタリア
14118,0,コットン100%
14118,48,U7P003-F0018
14118,5,手洗い ドライクリーング
14118,6,イタリア
14119,0,コットン97% ポリウレタン3%
14119,48,U7P004-T0001
14119,5,手洗い ドライクリーング
14119,6,イタリア
14121,0,ウール100％
14121,48,Z0229/KYOTO
14121,5,手洗い ドライクリーニング
14121,6,イタリア
14137,0,スウェット ナイロン
14137,11,約0.6kg
14137,33,ファスナー式ポケット1
14137,34,ファスナー式ポケット1
14137,48,CH60-0347
14137,6,中国
14137,9,幅×高さ×マチ:21.5×33×9.5cm
14147,0,スウェット コーデュラナイロン
14147,11,約0.4kg
14147,33,ファスナー式ポケット1
14147,34,ファスナー式ポケット1
14147,48,CH60-0685
14147,6,中国
14147,9,幅×高さ×マチ：47×14×9cm
14156,0,表:スウェット<br />裏:ナイロン
14156,11,約0.7kg
14156,33,ポケット1
14156,34,ポケット1
14156,48,CH60-0725
14156,6,中国
14156,9,幅×高さ×マチ:34×36×17cm
14162,0,ナイロン
14162,11,0.6kg
14162,33,ファスナー式ポケット1
14162,34,ファスナー式ポケット1
14162,48,CH60-0276
14162,6,中国
14162,9,幅×高さ×マチ：30×44×12cm
14163,0,ナイロン
14163,11,0.8kg
14163,33,ファスナー式ポケット1
14163,48,CH60-0570
14163,6,中国
14163,9,幅×高さ×マチ：65×31×31cm
14164,0,ナイロン
14164,11,0.7kg
14164,33,ファスナー式ポケット1
14164,48,CH60-0571
14164,6,中国
14164,9,幅×高さ×マチ：55×27×27cm
14175,0,スウェット コーデュラナイロン
14175,11,約1.2kg
14175,33,デイパック：ファスナー式ポケット2 ポケット2
14175,48,CH60-0804
14175,6,中国
14175,9,幅×高さ×マチ：30×46×21cm
14180,0,カシミア100%
14180,48,HAD01001 52
14180,5,ドライクリーニング
14180,6,スコットランド
14180,9,全長：24cm<br />幅：9cm
14181,0,カシミア100%
14181,48,HAM00162
14181,5,ドライクリーニング
14181,6,スコットランド
14181,9,全長：175cm<br />幅：55cm
14187,0,カシミア100%
14187,48,WA000295
14187,5,ドライクリーニング
14187,6,スコットランド
14187,9,本体の長さ(フリンジを除く)：180cm<br />フリンジの長さ：8cm<br />幅：30cm
14190,0,牛革
14190,11,0.4kg
14190,12,保存袋(予告なく仕様が変わる場合がございます)
14190,34,ファスナー式ポケット1<br />ポケット2<br />リング1
14190,4,保存袋(予告なく仕様が変わる場合がございます)
14190,6,日本
14190,9,幅×高さ×マチ:35×26.5×2cm
14192,0,牛革
14192,11,0.5kg
14192,12,保存袋(予告なく仕様が変わる場合がございます)<br />キーリング1
14192,33,ファスナー式ポケット2<br />ボタン式ポケット1
14192,34,ポケット1
14192,4,キーリング 保存袋(予告なく仕様が変わる場合がございます)
14192,6,日本
14192,9,幅×高さ×マチ:31.5×20×7cm
