商品コード,商品コメント1,商品コメント2,商品コメント3,商品コメント4,商品コメント5,商品コメント6,商品コメント7,商品コメント8,商品コメント9,購入時メッセージ
10119,"<span class=""itemComment"">コーデュラナイロンを使用したライト感と、色合いが特長的なBRIEFINGの新ライン、”FLIGHT LIGHT SIRIES”のトートバッグ。<br />本体前面のファスナー式のポケットには、小物や財布、携帯電話などを入れるのに便利。<br />本体の荷室はスナップ式のボタンで開閉可能ですので、雨の日などに閉じれば中の荷物が濡れる心配もありません。<br />軽量のコーデュラナイロンを使用することで、見た目以上の軽さがあります。
</span>",,,,,,,,,
10120,"<span class=""itemComment"">コーデュラナイロンを使用したライト感と、色合いが特長の新ライン、""FLIGHT LIGHT SIRIES”のウエストポーチ。<br />ショルダーストラップが長めにとられているので、ウエストポーチとしても、肩から下げるミニ・ショルダーとしても使える2WAYバッグとしてお使いいただけます。<br />本体背面には「エアロメッシュ」を採用し、バッグを着用した時の負担を軽減してくれます。<br /><br />コーデュラナイロンを使用した軽さと、3色のカラー展開が人気の「FLIGHT LIGHT SIRIES／フライトライト・シリーズ」。
</span>",,,,,,,,,
10121,"<span class=""itemComment"">コーデュラナイロンを使用したライト感と、色合いが特長の新ライン、”FLIGHT LIGHT SIRIES”のショルダーバッグ。<br />本体前面と背面に、それぞれ大型のファスナーポケットが備え付けられているので、見た目以上の収容力を誇ります。<br />荷室はA3サイズも収容可能な大きさで、自転車通勤・通学には最適なサイズ感です。<br />ショルダーストラップの長さを変えれば斜めがけにも肩がけにも対応できます。<br />また、軽量のコーデュラナイロンを使用することで、見た目以上の軽さがあります。
</span>",,,,,,,,,
10122,"<span class=""itemComment"">コーデュラナイロンを使用したライト感と、色合いが特長の新ライン、”FLIGHT LIGHT SIRIES”のリュックサック。<br />大振りすぎないサイズ感が、タウンユースに最適。<br />本体両サイドにはポケットが2つ、前面にはファスナー仕様の大型のポケットが備え付けられているので、スマートに収納可能です。<br />また、軽量のコーデュラナイロンを使用することで、見た目以上の軽さがあります。<br />更にショルダーストラップの裏側には「エアロメッシュ」を採用し、バッグを着用した時の肩への負担を軽減してくれます。
</span>",,,,,,,,,
10123,"<span class=""itemComment"">実用性を重要視した機能的な「PP」シリーズ。<br />「PP」シリーズ最大の特徴は、他のバッグにアクセサリー感覚で取り付けることが出来る点です。<br />「PP-6」は、スマートフォン/iPhoneやデジタルカメラなど、日常に必要な小物をコンパクトに収納できます。<br />背面に取り付けられたリングやボタン式のループを使用して、ショルダーバッグのストラップやベルトループにつけることができます。
</span>",,,,,,,,,
10124,"<span class=""itemComment"">ブリーフィングのベストセラーモデル「ディトリッパー」をコンパクトにアレンジした新作「デイトリッパーS」。<br />ディトリッパーの機能やディテールはそのままに、よりコンパクトなモデルが欲しいという要望から誕生しました。<br />休日に持ち歩く携帯電話、小型音楽プレイヤー、財布、デジカメ、携帯ゲーム、ペットボトルなどが収納でき、ハンズフリーで出かける事が出来ます。
</span>",,,,,,,,,
10125,"<span class=""itemComment"">ブリーフィング人気モデル「ジムワイヤー」をよりコンパクトに、タウンユースにも使える仕様になった3WAYバッグ「イージーワイヤー」。<br />たっぷりと荷物を収納できる横ワイドのサイズ感ながら、カジュアルスタイルのタウンユースにも使えるシンプルで上品な顔立ち。<br />肩に掛けやすいようハンドル部はスナップボタンでハンドルを留めることが出来、更に着脱可能なパッド付きのショルダーストラップも備えているので、手持ち、トート、ショルダーと用途に合わせて3WAYで使える使い勝手の良い仕様です。<br />本体底部にはシューズ用のポケットを付属。<br />スポーツや旅行などではあると重宝する便利なポケットです。<br />本体荷口は用途に応じて、スナップボタンまたはフラップで閉じることで出来るので、荷物を円滑に出し入れしたい時にはスナップボタン、雨などで荷物を濡らしたくない時にはフラップで蓋をするといった便利な使い分けが出来ます。<br />更にブリーフィングお馴染みのマルチポケット仕様ですので、コンパクトに荷物を収納できます。<br />タウンユースから週末のスポーツ、旅行など幅広いシーンでお使いただける使い勝手の良いバッグです。
</span>",,,,,,,,,
10126,"<span class=""itemComment"">クラッチバッグ、バッグインバッグ、ドキュメントケース、旅行用ポーチやグルーミングキッッドなど、多様な使い方が出来るコンパクトなモバイルパッド。<br />A4パッドをベースにモバイルPCや各種グッズなどをコンパクトにまとめたいという要望に応え、誕生したケースです。<br />本体底部に取り付けられたストラップに手を通すことで、しっかりとバッグをホールド出来ます。<br />客先はもちろん、社内の移動にも便利な出来る男の必需品です。
</span>",,,,,,,,,
10131,"<span class=""itemComment"">ブリーフィングのゴルフシューズバッグ。<br>本体前面にシューケア用品や靴ひもなどを収納できるジップポケットがあります。<br>ゴルフはもちろん、出張や旅行などに靴を持っていく際にも使える便利なアイテムです。
</span>",,,,,,,,,
10132,"<span class=""itemComment"">ブリーフィング12周年記念モデルとして発売したドロップポーチのコーデュラナイロンバージョン。<br />素材をより軽量なコーデュラナイロンに変更し、更に持ちやすくなりました。<br />2WAYで使うことが出来、ショルダーバッグとしてボディバッグのようにも使え、太腿に巻くこともできるのでバイクや自転車、アウトドアシーンなど、ハンズフリーになりたい時に大変使いやすいアイテムです。
</span>",,,,,,,,,
10148,"<span class=""itemComment"">フランスの気品が漂うシャンボールのバッグ。<br />銀面が美しいスムースレザーを使用。<br />ハンドルはやや長めで腕に通すことができます。<br />底には4つの鋲があり、しっかり立つつくりなので客先の応接室でバッグが寝てしまう、なんてことがありません。<br />荷室のファスナーは大きく開くので分厚いファイルも手際よく取り出せます。<br />外側背面には大きなファスナーポケットがあります。パスケースなど小物などはこちらにしまえばさっと取り出せます。<br />内張りには高級感があり、手触りも滑らかコットン生地を使用しています。<br />内張りの色は外側の色と同色です。<br />とても使いやすい作りで奇抜なところがないにもかかわらず、有名メゾンのファクトリーとして培ったデザイン性と作りの確かさからくる強烈な存在感があります。
</span>",,,,,,,,,
10222,"<span class=""itemComment"">クロケット＆ジョーンズの2つ穴チャッカブーツ、チャートシー。<br />アッパーにはきめが細かく柔らかなスウェードを使用。<br />今やインコテックスなど細身のドレスパンツやジーンズに合わせるブーツの定番になりました。<br />上品な顔立ちはジャケットスタイルにはまります。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>着用感</th><th>アウトソール全長</th><th>アウトソール最大幅</th><th>ヒール高</th></tr>
<tr><td class=""col01"">6</td><td>24.5cm</td><td>27.4cm</td><td>9.8cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">6.5</td><td>25.0cm</td><td>27.7cm</td><td>9.9cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">7</td><td>25.5cm</td><td>28.0cm</td><td>10.1cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">7.5</td><td>26.0cm</td><td>28.5cm</td><td>10.3cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">8</td><td>26.5cm</td><td>29.1cm</td><td>10.4cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">8.5</td><td>27.0cm</td><td>29.5cm</td><td>10.6cm</td><td>2.5cm</td></tr>
</table></td></tr></table>",,,,,,,,
10223,"<span class=""itemComment"">クロケット＆ジョーンズ純正の靴のお手入れブラシです。<br />手のひらにしっくりとくる大きさでメンテナンス作業もはかどります。
</span>",,,,,,,,,
10278,"<span class=""itemComment"">Men's EX2008年5月号「BEST商品はコレだ！」でネクタイ部門１位に輝いた50オンスのネクタイ。<br />その後も各ファッション誌で絶賛。<br />当店販売本数300本突破。
</span>",,,,,,,,,
10366,"<span class=""itemComment"">ストラップにも本体と同じカーフを用いたIDケース。<br />IDは横から入れます。<br />背面はカードなどが入るポケット付き。<br />IDケースでもファーロならではのコバの仕上げ、整然としたステッチ、そして革の上質感を味わえます。
</span>",,,,,,,,,
10373,"<span class=""itemComment"">ファーロ一番人気のジップ式コインケースを備えた長財布。<br />コインケースは折り畳み式のマチを採用することにより、マチのない、極薄のコインケース付き長財布を誕生させました。<br />カードポケットの数は控えめな６つ。<br />厳選した長い付き合いのカードのみを持ち歩きましょう。<br /><br />ファーロ（Faro）の製品は水染めと呼ばれる、職人の勘で何度も繰り返し染める日本の伝統的な技法を用いて透明感のある独特な色を作りだし、その革を0.4mmまでそぐことでしなやかさを生み出しています。<br />また、その革を２枚張り合わせ、断面は本磨きと呼ばれる塗料を使わない職人の手磨きにて自然な艶がでるように仕上げられることで、実用性を求められる部分にも美しさを失わない、まさに「用の美」に基づく仕上げが施されています。
</span>",,,,,,,,,
10381,"<span class=""itemComment"">ファーロの特徴である薄くひかれたレザー、このリザードのモデルではその薄さをより感じることができます。<br />表のリザードとライニングのカーフ、共に0.4mmで2つを貼り合わせてもわずか0.8mmという薄さ。<br />その薄さは見た目のエレガントさと軽さを実現しています。<br />スーツの内ポケットに入れてもスーツに影響しない軽さです。<br />この軽さを活かし、仕様は札入れ１つとカード入れ２つのみ。<br />会計時に注目を浴びるスマート＆エレガントな札入れです。
</span>",,,,,,,,,
